cohort,documents,ocr_heavy_documents,azure_text_wins,docling_text_wins,text_ties,azure_projected_text_wins,docling_projected_text_wins,projected_text_ties,mean_azure_source_5gram_f1,mean_docling_source_5gram_f1,mean_azure_docling_5gram_f1,mean_azure_projected_source_5gram_f1,mean_docling_projected_source_5gram_f1,mean_azure_docling_projected_5gram_f1,mean_time_ratio_docling_to_azure,azure_pages,docling_pages,azure_tables,docling_tables,azure_figures,docling_native_pictures,azure_table_cells,docling_table_cells,azure_table_empty_cell_ratio,docling_table_empty_cell_ratio,azure_table_invalid_cells,docling_table_invalid_cells,azure_table_duplicate_coordinates,docling_table_duplicate_coordinates,azure_multi_page_tables,docling_multi_page_tables
figure_absolute,10,2,7,1,0,2,2,4,0.826195820284475,0.7336655247800774,0.6727812685837954,0.8061984816794212,0.8644538834528588,0.7000414333140338,7.784732565243709,4359,4359,3026,1695,4176,4226,240440,142202,0.28051904841124603,0.09595504985865178,0,0,0,4745,140,0
figure_dense,10,0,7,2,1,2,8,0,0.5241987261261751,0.4202279314341589,0.49223553608369375,0.504555359172836,0.7869120696975741,0.47500548566728895,5.8017242054155,95,95,236,108,559,187,5782,6459,0.10446212383258388,0.13423130515559684,0,0,0,345,3,0
french,12,4,4,3,1,5,3,0,0.746657142110137,0.762576923946816,0.8617119355103873,0.7320207416685283,0.737044151020921,0.800025354575085,5.454951444706842,2305,2279,492,344,792,1393,13494,11992,0.17348451163480066,0.17770180120080054,0,0,0,354,26,0
largest,15,2,9,3,1,7,2,4,0.8748227366431954,0.8473727895248296,0.8614799312130796,0.8596021301695577,0.8512454755953142,0.8205610006064307,6.210482790369879,8308,8296,3763,3512,3243,3761,187845,167383,0.15550586920067078,0.09553538889851419,0,0,0,4711,176,0
ocr_candidates,20,20,0,0,0,0,0,0,,,0.7269176628820312,,,0.6894847638672311,7.154775061268325,846,838,716,521,365,696,30928,21829,0.14672788411795137,0.18722799945027258,0,0,0,658,13,0
pages_101_plus,12,0,8,1,3,8,3,1,0.9183149673992037,0.8386052329508726,0.8562331032549412,0.9011980644051979,0.829618717674175,0.8132691696423033,4.4013384701863005,2050,2040,1076,1103,608,648,136267,127546,0.15589981433509215,0.12472362912204224,0,0,0,14729,48,0
pages_1_1,12,2,4,3,3,5,4,1,0.7435807701990562,0.7443888240297954,0.7593171354952664,0.8405389200775347,0.8136113908679419,0.8168964126045446,3.940655072385731,12,12,1,1,9,16,58,70,0.22413793103448276,0.2571428571428571,0,0,0,0,0,0
pages_21_100,12,2,8,2,0,7,3,0,0.7820266175085168,0.7857293125216083,0.8108325317947389,0.7598777844214976,0.7903670907005027,0.7502035775844916,5.630338465741295,627,624,406,275,473,569,28428,18339,0.16571689883213733,0.14002944544413545,0,0,0,740,5,0
pages_2_5,12,2,3,6,1,6,4,0,0.7803012090381737,0.8541886794880359,0.7928201705417012,0.821310789476546,0.8337971856874654,0.7625136763044075,3.7481890928021033,25,25,15,11,1,22,209,205,0.08133971291866028,0.23902439024390243,0,0,0,3,0,0
pages_6_20,12,0,9,3,0,10,2,0,0.7368532249499214,0.713859439070652,0.8764465512763587,0.757898678733912,0.7795733777368932,0.811448137756929,5.364190565951416,123,123,43,46,61,76,2083,2701,0.011521843494959194,0.02332469455757127,0,0,0,215,1,0
table_absolute,10,1,6,3,0,6,2,1,0.7375227327278395,0.6034806809640925,0.6069326958762024,0.7110177958023616,0.7187096387706605,0.6338320918099725,6.612030929521219,4208,4208,4641,2991,2302,1998,277209,189075,0.24185001208474471,0.10884040724580193,0,0,0,5173,53,0
table_dense,10,0,9,1,0,8,2,0,0.5257715414517301,0.37823827375990715,0.5374325962961594,0.5151808654670854,0.48279805112140334,0.5907455479698067,8.162387556507367,236,236,1696,420,888,444,51774,58690,0.19256769807239155,0.15992502981768614,0,0,0,6900,4,0
