document_id,name,cohorts,language,size_bytes,actual_pages,azure_pages,docling_pages,azure_seconds,docling_seconds,time_ratio_docling_to_azure,azure_tables,docling_tables,azure_table_cells,azure_table_empty_cells,azure_table_invalid_cells,azure_table_duplicate_coordinates,azure_table_multi_page_tables,azure_table_sourceless_tables,docling_table_cells,docling_table_empty_cells,docling_table_invalid_cells,docling_table_duplicate_coordinates,docling_table_multi_page_tables,docling_table_sourceless_tables,azure_sections,docling_sections,azure_figures,docling_native_pictures,azure_hyperlinks,azure_raw_pages,docling_native_pages,source_tokens,azure_tokens,docling_tokens,azure_projected_tokens,docling_projected_tokens,source_low_text_pages,source_low_text_page_ratio,ocr_heavy,azure_source_5gram_precision,azure_source_5gram_recall,azure_source_5gram_f1,docling_source_5gram_precision,docling_source_5gram_recall,docling_source_5gram_f1,azure_docling_5gram_f1,azure_projected_source_5gram_f1,docling_projected_source_5gram_f1,azure_docling_projected_5gram_f1,azure_5gram_repetition_rate,docling_5gram_repetition_rate
4600563,C36722-1 List of Authorities - A9Q0I1,largest,eng,11505300,799,799,795,123.26229451596737,627.8645000839606,5.093727181937435,32,45,1781,194,0,0,5,0,3072,413,0,41,0,0,2853,1,78,148,739,799,799,323780,322011,318567,343356,331321,40,0.05006257822277847,False,0.8949274231309505,0.9139204794504172,0.9043242369399528,0.8438351464668828,0.8428835563489723,0.8433590829803138,0.9152245483291286,0.903573579250361,0.8291520683843291,0.8768101059810512,0.20411668069327682,0.21311953993401622
4647187,C38072-1 C146 Indigenous Groups Engagement Report - 2026-01-29 - A9S2Z6,largest;table_absolute,eng,3846252,628,628,628,81.2738280610647,469.5662028330007,5.777581960089223,463,471,11200,20,0,0,2,0,11284,48,0,30,0,0,251,1,4,4,68,628,628,197061,183147,184801,363674,197536,0,0.0,False,0.955730179724578,0.9077741649423589,0.9311351146484745,0.9702169239788939,0.9171962754951227,0.9429618796178466,0.9633074028582013,0.906983360713663,0.9434174599660541,0.9057565231736489,0.7192794701408189,0.7231015655016044
4673063,C39643-4 417085-60937-25100-CA-REP-00001 2025 Annual C&R Rev0 Part 4 of 4 - A9U7S5,largest;table_absolute;figure_absolute,eng,29926979,626,626,626,153.65084143704735,1155.857470310999,7.522623758520503,731,453,99877,18729,0,0,7,0,77295,4485,0,1447,0,0,491,1,567,843,0,626,626,247409,242519,200435,451120,262299,25,0.039936102236421724,False,0.753253001966445,0.8067078157030996,0.7790645470133551,0.6592456278070187,0.573861026784214,0.6135971636642392,0.5873602944994836,0.7745581674673987,0.7744512020046461,0.6528196157643863,0.6057810857060388,0.6123004924387945
4596827,C36328-1 Letters of Comment - A9L3U0,largest;table_absolute,eng,21831083,625,625,625,59.92259533889592,241.8781017139554,4.036509105555241,567,624,4536,0,0,0,0,0,4992,0,0,0,0,0,3,1,0,0,1250,625,625,187602,187600,187598,202929,187598,0,0.0,False,0.730622251063523,0.6876357220412594,0.7084775388918021,0.6410956984727476,0.6209961997828447,0.6308859014133056,0.8353054045410937,0.6566226023846552,0.6289772139680788,0.7180026972796948,0.9260698522356553,0.9239101463799482
4664851,C39218-5 Attachment CER 1.1-4 ESA Part 4 - A9U0K6,largest;figure_absolute,eng,17213276,604,604,604,107.61560701811686,1189.6302338789992,11.054439656496362,246,262,8831,1021,0,0,21,0,9694,1654,0,415,0,0,541,1,433,440,680,604,604,275172,263030,266986,407545,283088,3,0.004966887417218543,False,0.9603945723747793,0.9426656126482214,0.9514475107793356,0.9517002815014268,0.9343304347826087,0.9429353722827127,0.9450176359741661,0.9460528178429307,0.9448071924559576,0.9254288846344838,0.40992145263205915,0.4185413248833255
4666748,C39419-5 Attachment CER 1.1-4 ESA Part 4 of 4 - A9U3V1,largest;figure_absolute,eng,16795452,603,603,603,97.2882154979743,1121.945658059998,11.532184574640068,267,253,9016,1088,0,0,21,0,9022,1507,0,399,0,0,701,1,425,452,681,603,603,278039,266593,268221,410133,285384,2,0.003316749585406302,False,0.9629851091736749,0.9425205620827014,0.9526429441453245,0.9532654284002396,0.9311178095639643,0.9420614657812469,0.9454189715815658,0.9471392138555915,0.9457724090116987,0.9256575632996026,0.4165850804046679,0.42130066326892035
4646669,C37921-6 Book of Authorities - Volume 1 - A9S0R5,largest,eng,15409223,572,572,572,90.88666097982787,303.45155739599977,3.338790908638951,26,28,941,20,0,0,8,0,1158,170,0,70,0,0,639,1,12,26,100,572,572,284477,258418,261993,289454,283897,0,0.0,False,0.8939848305493445,0.858463002256576,0.8758639056050239,0.9341876099413066,0.9032745613148766,0.9184710485534979,0.8559107650767436,0.8778594461704261,0.9036304119834316,0.8455217034835315,0.11734658338944481,0.12336777498291918
4648189,C38105-1 Commission – Report GH-001-2024 - Westcoast - Sunrise Expansion Program - A9S3L2,largest,eng,4062869,514,514,514,68.01433181692846,201.00515724900106,2.9553353224146766,49,104,2506,186,0,0,14,0,3559,759,0,194,0,0,606,1,3,7,39,514,514,237782,233084,236182,263613,236831,1,0.0019455252918287938,False,0.9860353502253502,0.9652184212084723,0.9755158431298224,0.9746073259381168,0.9673207130026253,0.9709503488484411,0.9690171448311425,0.9802556198670894,0.9632143254640565,0.9613268128828294,0.14897031062296207,0.14843465521767485
4597172,C36325-1 Letters of Comment - A9L3S7,largest;table_absolute,eng,18110656,500,500,500,64.1136469701305,190.85571690904908,2.9768345107238345,479,500,3832,0,0,0,0,0,4000,0,0,0,0,0,2,1,0,0,1378,500,500,155416,155414,155416,168362,155416,0,0.0,False,0.7353939610505628,0.6896782841823056,0.7118028534370947,0.6516179540709812,0.6275971849865952,0.6393820416524413,0.8531511679153813,0.6574817299628608,0.6386956336164582,0.724611757053419,0.9279711730261888,0.9260288780789128
4648190,C38105-2 Commission – Rapport GH-001-2024 - Westcoast - Programme d’agrandissement Sunrise - A9S3L1,largest;french,eng,4527319,499,499,499,78.0645294310525,226.165301371002,2.8971583255459676,51,108,2532,207,0,0,14,0,3709,823,0,207,0,0,589,1,3,7,46,499,499,300870,295415,300698,332596,301392,1,0.002004008016032064,False,0.9837055582104448,0.964098313093215,0.9738032491088081,0.9742801695776384,0.9696605462759564,0.9719648688397909,0.9676512368151041,0.9785985773788328,0.9653910315464481,0.9627291343674607,0.19955248788975355,0.20142736469633582
