document_id,name,actual_pages,azure_pages,docling_pages,probe_tokens_per_page,azure_tokens,docling_tokens
40940,C37493-3 Genesis Pipeline Canada Ltd 2025 COI - unredacted - A9R3X1 (Paper Only),1,1,1,166.0,155,166
41059,TranslationPending e.pdf,1,1,1,88.0,88,91
2936619,A76028-1 Reponse to NEB Financial Resources Requirements - A4Y8T4,1,1,1,0.0,202,200
2937798,A76118-1 Letter - A4Y9U6,1,1,1,349.0,315,338
2938321,A76280-1 Pipeline Specs Request Feb 26 2016 - A4Z2C9,1,1,1,0.0,211,212
2949175,A76389-1 Letter to NEB re Enbridge Response to Implementation of Financial Resource Requirements - A4Z3L2,2,2,2,153.0,275,275
2949615,A76381-1 Express Pipeline Ltd Implementation of Financial Resource Requirments - A4Z3I9,1,1,1,230.0,212,239
2969267,A77040-1 Letter to NEB Letter - Response to Implementation of Financial Resource Requirements - A5A9A7,3,3,3,321.0,932,956
2969897,A77082-1 Express Pipeline Ltd Implementation of Financial Resources - A5C0C2,191,191,190,230.0,91340,92510
2981643,A77225-1 Genesis - Financial Resource Requirements for Oil Pipelines - A5C2E9,2,2,2,221.0,475,633
2981807,A77313-1 Letter to NEB re Enbridge Response to Implementation of Finanical Resource Requirements - A5C3Q7,1,1,1,300.0,275,286
2981846,A77193-1 Letter - A5C1T8,13,13,13,79.0,1622,2268
2981991,A77266-1 CTHI Financial Resource Requirements June 1 - A5C2Y9,2,2,2,156.5,337,312
2982005,A77308-1 EBPC File Ad-GA-ActsLeg-Fed-NEBA-Amend 06 01 - A5C3L7,1,1,1,0.0,103,103
2982185,A77223-1 Letter - A5C2E5,3,3,3,119.0,374,360
2982359,A77302-1 Letter - A5C3K5,6,6,6,304.3333333333333,1841,1901
2982452,A77326-1 Cover Letter - A5C3V1,1,1,1,0.0,144,144
2982520,A77226-1 Genesis - Financial Resource Requirements for Non-hydrocarbon commodity Pipelines - A5C2F1,1,1,1,0.0,188,204
2982550,A77268-1 Letter - A5C2Z3,5,5,5,237.0,1067,1082
2985017,A77326-2 Financial Resource Filing 1 - A5C3V2,2,2,2,326.0,112,0
2985187,A77503-1 ECA Ltr to NEB - ECA Pipeline Data (June 10) - A5C6F3,1,1,1,0.0,224,175
2997315,A77881-1 TransCanada Response to Implementation of Financial Resource Requirement - A5D1A1,2,2,2,153.0,279,280
3004011,A77903-1 Letter - A5D1G6,2,2,2,188.5,397,110
3004233,A77991-1 Letter - A5D2G1,4,4,4,133.0,453,494
3004774,A78284-1 Response to NEB - Request for Information - A5D5Q4,2,2,2,106.0,199,199
3004977,A78340-1 NEB gas line information for Financial Req - A5D6E3,1,1,1,139.0,119,153
3005105,A78432-1 GEI Pipeline Information - A5D7H1,1,1,1,127.0,91,120
3005368,A78334-1 Letter - A5D6C5,1,1,1,167.0,131,134
3011621,A78668-1 160722 FortisBC Huntingdon Inc Implementation Financial Resources Req FF - A5E0X0,1,1,1,241.0,241,240
3012872,A78762-1 NEB Response - A5E1Z5,1,1,1,132.0,96,133
3024738,A78927-1 NEB - IR No. 1 to Express - Financial Resource Requirements,5,5,5,205.66666666666666,1061,1028
3024937,A78926-1 NEB - IR No. 1 to Westspur - Financial Resource Requirements,7,7,7,160.66666666666666,1471,1438
3027303,A79108-7 Attachment 1 to Enbridge Pipelines (Westspur) Inc. Response to IR No. 1.1(f) - Summary Table - A5E7C3,1,1,1,327.0,293,403
3027403,A79108-2 Enbridge Pipelines Inc. Response to NEB IR No. 1 - A5E7A8,9,9,9,318.0,2792,2801
